datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170110-09:00,Haze,7,0,0,,40,,1016,0,0,17,0,0,4,290,WNW,,,22.2
20170110-12:00,Haze,7,0,0,,47,,1016,0,0,15,0,0,4,290,WNW,,,9.3
20170110-12:30,Haze,9,0,0,,72,,1016,0,0,14,0,0,3.5,300,WNW,,,5.6
20170110-13:00,Haze,7,0,0,,63,,1016,0,0,14,0,0,3,300,WNW,,,5.6
20170110-15:00,Mist,9,0,0,,94,,1018,0,0,9,0,0,4,,,,,0
20170110-18:00,Patches of Fog,6,1,0,,99,,1019,0,0,6,0,0,4,290,WNW,,,3.7
20170110-21:00,Patches of Fog,5,1,0,,98,,1018,0,0,5,0,0,4,270,West,,,3.7
20170111-00:00,Partial Fog,5,1,0,,98,,1017,0,0,5,0,0,4,270,West,,,14.8
20170111-02:00,Fog,5,1,0,,100,,1017,0,0,5,0,0,0.4,260,West,,,3.7
20170111-02:30,Fog,5,1,0,,100,,1017,0,0,5,0,0,0.4,260,West,,,3.7
20170111-03:00,Mist,4,0,0,,78,,1018,0,0,6,0,0,1,270,West,,,5.6
20170111-03:30,Mist,4,0,0,,81,,1018,0,0,7,0,0,1.5,280,West,,4.9,11.1
20170111-06:00,Haze,6,0,0,,46,,1018,0,0,14,0,0,2,290,WNW,,,16.7
20170111-06:30,Haze,6,0,0,,55,,1018,0,0,15,0,0,2,280,West,,,18.5
20170111-07:00,Haze,7,0,0,,55,,1017,0,0,16,0,0,2,280,West,,,18.5
20170111-08:00,Haze,7,0,0,,52,,1016,0,0,17,0,0,2.5,270,West,,,18.5
20170111-08:30,Haze,6,0,0,,48,,1016,0,0,17,0,0,3.5,280,West,,,13
20170111-09:00,Haze,8,0,0,,42,,1016,0,0,17,0,0,2,270,West,,,18.5
20170111-10:30,Haze,7,0,0,,55,,1015,0,0,16,0,0,3,270,West,,,22.2
20170111-12:00,Haze,8,0,0,,55,,1016,0,0,14,0,0,2,320,NW,,,7.4
20170111-12:30,Haze,8,0,0,,72,,1016,0,0,13,0,0,3,310,NW,,,3.7
20170111-13:00,Mist,7,0,0,,72,,1016,0,0,12,0,0,2.5,0,North,,,0
20170111-15:00,Mist,7,0,0,,94,,1017,0,0,8,0,0,2,,,,,0
20170111-18:00,Mist,6,0,0,,95,,1018,0,0,6,0,0,0.5,,,,,0
20170111-21:00,Partial Fog,5,1,0,,100,,1016,0,0,5,0,0,0.2,,,,,0
20170112-00:00,Partial Fog,4,1,0,,98,,1017,0,0,4,0,0,0.2,,,,,0
20170112-02:00,Fog,4,1,0,,100,,1016,0,0,4,0,0,0.3,230,SW,,,3.7
20170112-02:30,Fog,5,1,0,,100,,1016,0,0,5,0,0,0.3,230,SW,,,3.7
20170112-03:00,Patches of Fog,5,1,0,,99,,1018,0,0,5,0,0,0.5,,,,,0
20170112-04:00,Mist,6,0,0,,82,,1018,0,0,9,0,0,1,250,WSW,,,11.1
20170112-05:00,Smoke,6,0,0,,67,,1018,0,0,12,0,0,1.2,230,SW,,,7.4
20170112-06:00,Smoke,6,0,0,,50,,1018,0,0,14,0,0,1,230,SW,,,11.1
20170112-07:00,Smoke,7,0,0,,52,,1017,0,0,17,0,0,1.5,290,WNW,,,11.1
20170112-07:30,Smoke,7,0,0,,52,,1016,0,0,17,0,0,2.5,280,West,,,13
20170112-08:00,Smoke,8,0,0,,55,,1016,0,0,17,0,0,2.5,250,WSW,,,13
20170112-08:30,Smoke,9,0,0,,56,,1016,0,0,18,0,0,2,270,West,,,11.1
20170112-09:00,Smoke,8,0,0,,44,,1015,0,0,18,0,0,2,320,NW,,,14.8
20170112-11:00,Haze,10,0,0,,59,,1014,0,0,18,0,0,2.5,300,WNW,,,14.8
20170112-12:00,Haze,10,0,0,,57,,1015,0,0,16,0,0,2,290,WNW,,,7.4
20170112-12:30,Haze,10,0,0,,72,,1015,0,0,15,0,0,2,280,West,,,3.7
20170112-13:00,Mist,10,0,0,,82,,1015,0,0,13,0,0,1,0,North,,,0
20170112-15:00,Mist,9,0,0,,92,,1017,0,0,9,0,0,2,,,,,0
20170112-18:00,Mist,7,0,0,,100,,1017,0,0,7,0,0,1,,,,,0
20170112-21:00,Patches of Fog,6,1,0,,100,,1017,0,0,6,0,0,0.5,,,,,0
20170113-00:00,Patches of Fog,5,1,0,,100,,1017,0,0,5,0,0,0.5,,,,,0
20170113-03:00,Partial Fog,6,1,0,,94,,1018,0,0,6,0,0,0.5,250,WSW,,,3.7
20170113-03:30,Fog,6,1,0,,93,,1018,0,0,7,0,0,0.3,280,West,,,3.7
20170113-05:00,Smoke,7,0,0,,67,,1019,0,0,13,0,0,1,290,WNW,,,9.3
20170113-05:30,Smoke,7,0,0,,63,,1019,0,0,14,0,0,1,280,West,,,13
20170113-06:00,Smoke,7,0,0,,48,,1019,0,0,16,0,0,1,320,NW,,,9.3
20170113-06:30,Smoke,7,0,0,,55,,1019,0,0,16,0,0,1.5,340,NNW,,,7.4
20170113-07:30,Smoke,7,0,0,,49,,1018,0,0,18,0,0,1.8,290,WNW,,,14.8
20170113-09:00,Haze,7,0,0,,34,,1016,0,0,19,0,0,2,290,WNW,,,14.8
20170113-10:00,Haze,7,0,0,,46,,1016,0,0,19,0,0,3,320,NW,,,9.3
20170113-10:30,Haze,7,0,0,,46,,1016,0,0,19,0,0,3,320,NW,,,9.3
20170113-11:30,Haze,8,0,0,,52,,1016,0,0,18,0,0,3,320,NW,,,7.4
20170113-12:00,Haze,9,0,0,,45,,1016,0,0,18,0,0,2,320,NW,,,3.7
20170113-12:30,Haze,9,0,0,,63,,1016,0,0,16,0,0,3,290,WNW,,,3.7
20170113-15:00,Mist,8,0,0,,91,,1018,0,0,10,0,0,2,,,,,0
20170113-18:00,Mist,6,0,0,,94,,1019,0,0,6,0,0,1,,,,,0
20170113-21:00,Mist,5,0,0,,100,,1018,0,0,5,0,0,0.5,,,,,0
